step,time_ms,target_x_mm,target_y_mm,theta_A_deg,theta_B_deg,motor_A_shaft_deg,motor_B_shaft_deg,motor_A_shaft_deg_x100,motor_B_shaft_deg_x100
109,545.0,-39.20523623940631,-177.2901483304473,-139.21327123692043,-46.06730502256252,-1113.7061698953635,-368.5384401805002,-111370,-36853
110,550.0,-40.14783638153149,-177.70565523567817,-139.45431533398767,-46.63091512352157,-1115.6345226719013,-373.04732098817254,-111563,-37304
111,555.0,-41.072826355721325,-178.13094117735767,-139.68385172075017,-47.188697403516954,-1117.4708137660014,-377.50957922813564,-111747,-37750
112,560.0,-41.97980043080192,-178.5658196110159,-139.90180623885104,-47.740403868468526,-1119.2144499108083,-381.9232309477482,-111921,-38192
113,565.0,-42.86836077796819,-179.01009978459902,-140.1081167650866,-48.28579527163371,-1120.8649341206929,-386.2863621730697,-112086,-38628
114,570.0,-43.73811764528468,-179.46358682213935,-140.30273300170074,-48.82464092237127,-1122.421864013606,-390.5971273789702,-112242,-39059
115,575.0,-44.58868952864366,-179.92608180923426,-140.48561623675127,-49.356718485231355,-1123.8849298940102,-394.85374788185084,-112388,-39485
116,580.0,-45.419703339105375,-180.39738188029685,-140.65673907703066,-49.88181377139453,-1125.2539126162453,-399.05451017115627,-112525,-39905
117,585.0,-46.230794566547345,-180.8772803075393,-140.8160851560776,-50.39972052436785,-1126.5286812486208,-403.1977641949428,-112652,-40319
118,590.0,-47.02160743955039,-181.3655665916507,-140.96364881984226,-50.91024020172794,-1127.709190558738,-407.2819216138235,-112770,-40728
119,595.0,-47.79179508145177,-181.86202655412876,-141.0994347925757,-51.41318175458285,-1128.7954783406055,-411.3054540366628,-112879,-41130
120,600.0,-48.54101966249684,-182.3664424312258,-141.22345782549368,-51.90836140630448,-1129.7876626039495,-415.26689125043583,-112978,-41526
121,605.0,-49.26895254802224,-182.87859296946704,-141.33574233072767,-52.39560243196457,-1130.6859386458214,-419.16481945571655,-113068,-41916
122,610.0,-49.975274442605965,-183.3982535226997,-141.43632200302167,-52.87473493979132,-1131.4905760241734,-422.99787951833054,-113149,-42299
123,615.0,-50.65967553012091,-183.9251961506301,-141.52523943155893,-53.34559565584737,-1132.2019154524714,-426.76476524677895,-113220,-42676
124,620.0,-51.3218556096304,-184.4591897188061,-141.60254570421802,-53.808027713019825,-1132.8203656337441,-430.4642217041586,-113282,-43046
125,625.0,-51.961524227066306,-185.0,-141.66830000645973,-54.261880445303504,-1133.3464000516778,-434.09504356242803,-113334,-43409
126,630.0,-52.57840080263181,-185.54738977694853,-141.72256921693787,-54.70700918825558,-1133.780553735503,-437.65607350604466,-113378,-43765
127,635.0,-53.172214753872886,-186.10111894640414,-141.765427501811,-55.14327508639782,-1134.123420014488,-441.14620069118257,-113412,-44114
128,640.0,-53.74270561436476,-186.66094462445216,-141.79695590961182,-55.57054490824828,-1134.3756472768946,-444.56435926598624,-113437,-44456
129,645.0,-54.28962314796116,-187.22662125304782,-141.8172419684029,-55.98869086957208,-1134.5379357472232,-447.90952695657666,-113453,-44790
130,650.0,-54.81272745855605,-187.797900707726,-141.8263792868195,-56.39759046535343,-1134.611034294556,-451.18072372282745,-113461,-45118
131,655.0,-55.31178909531004,-188.3745324064369,-141.824467160471,-56.7971263109091,-1134.595737283768,-454.3770104872728,-113459,-45437
132,660.0,-55.78658915329508,-188.95626341945965,-141.81161018504025,-57.18718599248465,-1134.492881480322,-457.4974879398772,-113449,-45749
133,665.0,-56.23691936951349,-189.54283858034555,-141.78791787729514,-57.56766192760098,-1134.3033430183611,-460.54129542080784,-113430,-46054
134,670.0,-56.66258221424886,-190.1340005978425,-141.75350430509627,-57.93845123534795,-1134.0280344407702,-463.5076098827836,-113402,-46350
135,675.0,-57.06339097770921,-190.72949016875157,-141.70848772736554,-58.29945561675694,-1133.6679018189243,-466.3956449340555,-113366,-46639
136,680.0,-57.439169851924035,-191.32904609166584,-141.65299024485938,-58.6505812453203,-1133.223921958875,-469.2046499625624,-113322,-46920
137,685.0,-57.789754007859486,-191.93240538154203,-141.5871374624765,-58.99173866766839,-1132.697099699812,-471.93390934134715,-113269,-47193
138,690.0,-58.114989667717865,-192.53930338505435,-141.51105816372157,-59.322842714357456,-1132.0884653097726,-474.58274171485965,-113208,-47458
139,695.0,-58.414734172389615,-193.14947389668032,-141.42488399784258,-59.643812420671374,-1131.3990719827407,-477.150499365371,-113139,-47715
140,700.0,-58.688856044028334,-193.7626492754672,-141.32874918006104,-59.95457095728891,-1130.6299934404883,-479.63656765831126,-113062,-47963
141,705.0,-58.937235043721316,-194.37856056242825,-141.22279020522438,-60.255045570623054,-1129.782321641795,-482.04036456498443,-112978,-48204
142,710.0,-59.1597622242303,-194.99693759851692,-141.1071455751223,-60.54516753259394,-1128.8571646009784,-484.36134026075155,-112885,-48436
143,715.0,-59.3563399777793,-195.61750914312765,-140.981955539631,-60.82487209955622,-1127.855644317048,-486.59897679644973,-112785,-48659
144,720.0,-59.52688207886867,-196.24000299307087,-140.84736185177465,-61.09409848006182,-1126.7788948141972,-488.75278784049453,-112677,-48875
145,725.0,-59.6713137220964,-196.8641461019704,-140.70350753672733,-61.35278981110331,-1125.6280602938186,-490.82231848882645,-112562,-49082
146,730.0,-59.789571554970266,-197.48966470003052,-140.55053667471557,-61.60089314244701,-1124.4042933977246,-492.8071451395761,-112440,-49280
147,735.0,-59.88160370569629,-198.1162844141206,-140.38859419772706,-61.83835942863408,-1123.1087535818165,-494.7068754290726,-112310,-49470
