time_s,phase,leg,x_setpoint_mm,y_setpoint_mm,z_setpoint_mm,x_actual_mm,y_actual_mm,z_actual_mm,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.3625,WARMUP,RR,-179.375,-177.0,-220.0,-178.392,-177.001,-220.662,38.017,37.861,-56.225,-56.152
0.3625,WARMUP,RL,-179.375,177.0,-220.0,-179.089,176.998,-221.099,37.772,37.623,-55.837,-55.619
0.3833,WARMUP,FR,179.375,-177.0,-220.0,177.082,-177.006,-249.058,5.305,5.234,-0.481,-0.442
0.3833,WARMUP,FL,179.375,177.0,-220.0,179.174,176.992,-238.698,27.068,25.467,-38.311,-35.597
0.3833,WARMUP,RR,-179.375,-177.0,-220.0,-179.085,-177.005,-220.121,38.246,38.232,-56.605,-56.61
0.3833,WARMUP,RL,-179.375,177.0,-220.0,-178.718,176.995,-220.274,38.178,38.028,-56.48,-56.498
0.4042,WARMUP,FR,179.375,-177.0,-220.0,177.03,-177.002,-249.049,5.526,5.436,-0.87,-0.777
0.4042,WARMUP,FL,179.375,177.0,-220.0,179.317,176.996,-232.292,31.998,30.779,-46.516,-44.501
0.4042,WARMUP,RR,-179.375,-177.0,-220.0,-179.286,-177.001,-219.987,38.302,38.298,-56.707,-56.71
0.4042,WARMUP,RL,-179.375,177.0,-220.0,-178.81,176.999,-219.821,38.393,38.31,-56.82,-56.924
0.4208,WARMUP,FR,179.375,-177.0,-220.0,176.915,-177.002,-249.032,5.76,5.666,-1.284,-1.125
0.4208,WARMUP,FL,179.375,177.0,-220.0,179.463,176.995,-227.613,34.727,33.921,-50.963,-49.655
0.4208,WARMUP,RR,-179.375,-177.0,-220.0,-179.312,-177.003,-220.046,38.306,38.305,-56.707,-56.708
0.4208,WARMUP,RL,-179.375,177.0,-220.0,-179.125,176.997,-219.812,38.403,38.381,-56.835,-56.908
0.4417,WARMUP,FR,179.375,-177.0,-220.0,176.831,-177.0,-249.008,6.18,6.056,-2.025,-1.761
0.4417,WARMUP,FL,179.375,177.0,-220.0,179.459,176.998,-223.673,36.695,36.293,-54.125,-53.482
0.4417,WARMUP,RR,-179.375,-177.0,-220.0,-179.334,-177.001,-220.019,38.307,38.306,-56.697,-56.697
0.4417,WARMUP,RL,-179.375,177.0,-220.0,-179.132,176.999,-219.815,38.399,38.378,-56.829,-56.899
0.4625,WARMUP,FR,179.375,-177.0,-220.0,176.775,-176.999,-248.963,6.816,6.636,-3.148,-2.732
0.4625,WARMUP,FL,179.375,177.0,-220.0,179.435,177.002,-221.617,37.621,37.442,-55.599,-55.314
0.4625,WARMUP,RR,-179.375,-177.0,-220.0,-179.338,-176.999,-219.993,38.306,38.306,-56.688,-56.689
0.4625,WARMUP,RL,-179.375,177.0,-220.0,-179.071,177.001,-219.802,38.402,38.37,-56.833,-56.91
0.4833,WARMUP,FR,179.375,-177.0,-220.0,176.859,-176.999,-248.87,7.812,7.516,-4.906,-4.27
0.4833,WARMUP,FL,179.375,177.0,-220.0,179.45,177.003,-220.675,38.025,37.95,-56.237,-56.118
0.4833,WARMUP,RR,-179.375,-177.0,-220.0,-179.302,-176.998,-219.996,38.299,38.299,-56.676,-56.677
0.4833,WARMUP,RL,-179.375,177.0,-220.0,-178.968,177.002,-219.802,38.41,38.361,-56.845,-56.938
0.5042,WARMUP,FR,179.375,-177.0,-220.0,176.708,-176.995,-248.622,9.328,8.905,-7.578,-6.587
0.5042,WARMUP,FL,179.375,177.0,-220.0,179.399,177.011,-220.289,38.196,38.166,-56.508,-56.46
0.5042,WARMUP,RR,-179.375,-177.0,-220.0,-179.341,-176.994,-219.951,38.288,38.288,-56.658,-56.658
0.5042,WARMUP,RL,-179.375,177.0,-220.0,-178.839,177.006,-219.717,38.447,38.384,-56.904,-57.029
0.5208,WARMUP,FR,179.375,-177.0,-220.0,177.324,-176.999,-248.236,11.175,10.471,-10.833,-9.502
0.5208,WARMUP,FL,179.375,177.0,-220.0,179.457,177.001,-219.995,38.245,38.244,-56.585,-56.584
0.5208,WARMUP,RR,-179.375,-177.0,-220.0,-179.19,-176.998,-220.022,38.285,38.275,-56.681,-56.687
0.5208,WARMUP,RL,-179.375,177.0,-220.0,-178.926,177.002,-219.715,38.45,38.403,-56.909,-57.025
0.5417,WARMUP,FR,179.375,-177.0,-220.0,177.578,-176.965,-247.092,14.521,13.441,-16.706,-14.774
0.5417,WARMUP,FL,179.375,177.0,-220.0,179.405,177.028,-219.684,38.26,38.26,-56.61,-56.61
0.5417,WARMUP,RR,-179.375,-177.0,-220.0,-179.07,-176.997,-219.931,38.335,38.301,-56.754,-56.78
0.5417,WARMUP,RL,-179.375,177.0,-220.0,-178.888,177.003,-219.536,38.457,38.452,-56.919,-57.013
0.5625,WARMUP,FR,179.375,-177.0,-220.0,178.22,-176.987,-244.592,19.173,17.701,-24.81,-22.258
0.5625,WARMUP,FL,179.375,177.0,-220.0,179.501,177.017,-219.475,38.266,38.265,-56.625,-56.625
0.5625,WARMUP,RR,-179.375,-177.0,-220.0,-179.066,-176.997,-219.891,38.366,38.315,-56.781,-56.832
0.5625,WARMUP,RL,-179.375,177.0,-220.0,-178.94,177.003,-219.698,38.466,38.45,-56.934,-57.04
0.5833,WARMUP,FR,179.375,-177.0,-220.0,179.011,-176.995,-240.003,24.785,23.126,-34.446,-31.644
0.5833,WARMUP,FL,179.375,177.0,-220.0,179.495,177.006,-219.028,38.263,38.262,-56.628,-56.628
0.5833,WARMUP,RR,-179.375,-177.0,-220.0,-178.916,-176.998,-219.736,38.446,38.404,-56.903,-57.015
0.5833,WARMUP,RL,-179.375,177.0,-220.0,-179.126,177.002,-219.73,38.44,38.447,-56.894,-56.97
0.6042,WARMUP,FR,179.375,-177.0,-220.0,179.241,-176.993,-233.69,30.18,28.789,-43.514,-41.146
0.6042,WARMUP,FL,179.375,177.0,-220.0,179.451,177.005,-218.728,38.264,38.263,-56.627,-56.627
0.6042,WARMUP,RR,-179.375,-177.0,-220.0,-179.274,-177.007,-219.813,38.404,38.439,-56.835,-56.871
0.6042,WARMUP,RL,-179.375,177.0,-220.0,-178.875,176.993,-219.714,38.451,38.406,-56.91,-57.025
0.6208,WARMUP,FR,179.375,-177.0,-220.0,179.491,-177.009,-228.804,33.475,32.472,-48.931,-47.261
0.6208,WARMUP,FL,179.375,177.0,-220.0,179.452,176.987,-218.798,38.261,38.26,-56.622,-56.622
